GID,GEOM_O,IDENT,ADRESSE,CAMPGPS,CODEPOST,NATURE,IDMOUVT,IDSAE,LIGNEDES,LONGARR,DATECREA,DATEDEPL,DATEGEAR,DATEGEMO,DATEGEVO,MOBILIE1,MOBILIE2,MOBILIE3,MOBILIE4,NOMARRET,REFMOB1,REFMOB2,REFMOB3,REFMOB4,VILLE,ARSCOL,PRESCORB,CONFORT,NIVACPMR,PHOTO,ARTRAN,NIVSERV,RESEAU,CDATE,MDATE
2099,360,3002,face au 31 avenue de Paris,20060804000000,33185,Sur chaussée classique,8,,30,,20010101000000,20051122000000,20100222000000,20051122000000,,Abribus V2 éclairé,,,,Parc Ste Christine,16.31,,,,LE HAILLAN,,,,,,,,BUS,20170830151000,20170830175128
3629,360,3003,avenue Jean Gabriel Domergue,20141022000000,33000,Sur chaussée classique,8,,Corol 32/Lianes 15,,20010101000000,20131211000000,19990909000000,20140110000000,20131211000000,Poteau,,,,Palais des Congrès,,,,,BORDEAUX,,,,,,,,BUS,20170830151000,20170830175140
3174,360,3004,avenue des 40 Journaux (face au Centre Commercial),20070927000000,33000,Sur chaussée classique,8,,Corol 32,,20010101000000,,20150126000000,20140910000000,20100322000000,Poteau mobile,,,,Centre Commercial du Lac,,,,,BORDEAUX,,,,,,,,BUS,20170830151000,20170830175136
4046,360,3005,avenue des 40 Journaux (face à Quick),20111014000000,33000,Sur chaussée classique,8,,Corol 32/Lianes 7,,20010101000000,20110113000000,20150126000000,20140910000000,20100322000000,Poteau mobile,"Abribus ""mobile""","Abribus ""mobile""",,Berges du Lac,,7.397 et 7.403,,,BORDEAUX,,,,,,,,BUS,20170830151000,20170830175144
3230,360,300,face au 22/24 rue du Grand Maurian,20131009000000,33000,Sur chaussée classique,6,,Citéis 41/Lianes 11,,20010101000000,20130326000000,20071112000000,20080922000000,,Abribus V1,,,,Hôpital Pellegrin (Grand Maurian),7.189,,,,BORDEAUX,,,,,,,,BUS,20170830151000,20170830175136
880,360,3013,7 rue Michel Montaigne,19970715000000,33310,Sur chaussée classique,8,,,,20010101000000,,19990909000000,20110328000000,,Non matérialisé,,,,Montaigne,,,,,LORMONT,,,,,,,,,20170830151000,20170830171744
1534,360,3019,60 boulevard Ludovic Trarieux,20060719000000,33100,Sur chaussée classique,6,,,,20010101000000,19990914000000,19991012000000,20051028000000,20070703000000,Abribus V1 non éclairé,,,,Trégey,7.67,,,,BORDEAUX,,,,,,,,,20170830151000,20170830171744
2018,360,3021,123 rue Albert Thomas,20050923000000,33130,Sur chaussée classique,6,,,,20010101000000,19990621000000,19991012000000,20050729000000,,Abribus V3 non éclairé,,,,Route de Toulouse,5.05,,,,BEGLES,,,,,,,,,20170830151000,20170830171744
1591,360,3022,chemin des Orphelins,20060719000000,33140,Sur chaussée norme access,8,,,,20010101000000,20141101000000,20000101000000,20060227000000,20141101000000,Abribus V1 éclairé,,,,L'Orée du Bois,27.53,,,,VILLENAVE-D'ORNON,,,,,,,,,20170830151000,20170830171744
1541,360,3023,rue de Megret (face place Wilson),20070921000000,33400,Sur chaussée classique,6,,,,20010101000000,,20041220000000,20060919000000,,Abribus V1 non éclairé,,,,Collège Victor Louis,26.51,,,,TALENCE,,,,,,,,,20170830151000,20170830171744
2071,360,3025,face au 80 avenue Charles de Gaulle,20051010000000,33200,Sur chaussée classique,4,,Lianes 2/Lianes 3,40,20010101000000,20021218000000,19990827000000,20051013000000,,Abribus V3 non éclairé,,,,Parc Bordelais,7.147,,,,BORDEAUX,,,,,,,,BUS,20170830151000,20170830175128
2809,360,3026,416 avenue du Maréchal de Lattre de Tassigny,20141020000000,33200,Sur chaussée norme access,4,,83/Lianes 3,,20010101000000,20131216000000,19990827000000,20050913000000,20131216000000,Abribus V3 non éclairé,,,,Cage Verte,7.142,,,,BORDEAUX,,,,,,,,BUS,20170830151000,20170830175132
1976,360,3030,183 avenue Pasteur,20090806000000,33185,Sur chaussée norme access,4,,Lianes 3,18,20010101000000,20040413000000,19990827000000,20090120000000,,Abribus V2,,,,Rue du Stade,16-13,,,,LE HAILLAN,,,,,,,,BUS,20170830151000,20170830175128
1035,360,3031,246 avenue Pasteur,20141017000000,33185,Sur chaussée norme access,4,,Lianes 3,,20010101000000,20140101000000,19990827000000,20140801000000,20140101000000,Abribus V1,,,,Rue du Médoc,16-39,,,,LE HAILLAN,,,,,,,,BUS,20170830151000,20170830175120
3234,360,3032,avenue Descartes (devant le centre commercial Leclerc),20131008000000,33160,Sur chaussée norme access,4,,Lianes 3,,20010101000000,,19990827000000,20100301000000,20100301000000,Abribus V1,Abribus V1,,,Herriot (Centre Commercial),23.36,23.02,,,SAINT-MEDARD-EN-JALLES,SCOLAIRE,,,,,,,BUS,20170830151000,20170830180716
1169,360,3033,avenue Descartes,20131008000000,33160,Sur chaussée norme access,4,,Lianes 3,,20010101000000,,19990827000000,20050708000000,20100301000000,Abribus V1 éclairé,,,,Herriot (Centre Commercial),23.01,,,,SAINT-MEDARD-EN-JALLES,SCOLAIRE,,,,,,,BUS,20170830151000,20170830180652
2386,360,3035,avenue Descartes (devant BBJ Leclerc ),20100728000000,33160,Sur chaussée classique,4,,Lianes 3,,20010101000000,20051122000000,19990827000000,20051122000000,20091026000000,Abribus V1 éclairé,,,,Château Gajac,23.23,,,,SAINT-MEDARD-EN-JALLES,SCOLAIRE,,,,,,,BUS,20170830151000,20170830180708
1822,360,3036,15 avenue Descartes (en face de BBJ Leclerc),20100728000000,33160,Sur chaussée classique,4,,Lianes 3,20,20010101000000,20091026000000,19990827000000,,,Poteau,,,,Château Gajac,,,,,SAINT-MEDARD-EN-JALLES,,,,,,,,BUS,20170830151000,20170830175124
310,360,3037,34 avenue Montaigne,19970723000000,33160,Sur chaussée classique,4,,Lianes 3,20,20010101000000,,20070705000000,,,Poteau,,,,Gadret,,,,,SAINT-MEDARD-EN-JALLES,SCOLAIRE,,,,,,,BUS,20170830151000,20170830180640
567,360,3040,face au 72 avenue Montaigne,20131008000000,33160,Sur chaussée norme access,4,,30/Lianes 3,,20010101000000,,19990827000000,20050718000000,20100415000000,Abribus V1 éclairé,,,,Moulin de Gajac,23.24,,,,SAINT-MEDARD-EN-JALLES,,,,,,,,BUS,20170830151000,20170830175116
639,360,3042,face au 116 avenue Montaigne,20110928000000,33160,Sur chaussée norme access,4,,30/Lianes 3,,20010101000000,,19990827000000,20110504000000,20110502000000,Abribus V1 éclairé,,,,Route de Corbiac,23-05,,,,SAINT-MEDARD-EN-JALLES,SCOLAIRE,,,,,,,BUS,20170830151000,20170830180644
2368,360,3043,avenue Montaigne,19970727000000,33160,Voie protégée,4,,30/83/Flexo 55/Lianes 3,40,20010101000000,,20070705000000,,,Poteau,,,,République,,,,,SAINT-MEDARD-EN-JALLES,,,,,,,,BUS,20170830151000,20170830175128
1671,360,3044,place de la République,20050928000000,33160,Voie protégée,4,,30/Lianes 3,40,20010101000000,,20070705000000,20050819000000,20050819000000,Abribus V5 éclairé,,,,République,23.15,,,,SAINT-MEDARD-EN-JALLES,SCOLAIRE,,,,,,,BUS,20170830151000,20170830180656
2801,360,3047,face au 138 avenue du Général de Gaulle,20110928000000,33160,Sur chaussée norme access,4,,Flexo 55 Résa/Lianes 3,,20010101000000,,19990827000000,20091126000000,20091126000000,Abribus V1,,,,Le Club des Pins,23-70,,,,SAINT-MEDARD-EN-JALLES,SCOLAIRE,,,,,,,BUS,20170830151000,20170830180712
3596,360,3049,86 avenue Anatole France (devant le collège),20050928000000,33160,Sur chaussée norme access,4,,71/Flexo 55 Résa/Lianes 3,,20010101000000,20161201000000,19990827000000,20161201000000,20161201000000,Abribus V1,,,,Collège d'Hastignan,23.09,,,,SAINT-MEDARD-EN-JALLES,SCOLAIRE,,,,,,,BUS,20170830151000,20170830180720
1977,360,3051,110 avenue Anatole France,20110928000000,33160,Sur chaussée norme access,4,,71/Flexo 55 Résa/Lianes 3,,20010101000000,20051215000000,20080526000000,20080724000000,20100415000000,Abribus V1 éclairé,,,,Espace Aquatique,23.25,,,,SAINT-MEDARD-EN-JALLES,SCOLAIRE,,,,,,,BUS,20170830151000,20170830180700
806,360,3052,119 avenue Anatole France,20110928000000,33160,Sur chaussée classique,4,,71/Flexo 55 Résa/Lianes 3,20,20010101000000,,20080526000000,20091123000000,,Abribus V1,,,,Espace Aquatique,23-72,,,,SAINT-MEDARD-EN-JALLES,SCOLAIRE,,,,,,,BUS,20170830151000,20170830180644
